"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2021-05-14T14:47:42.4303226+03:00[Europe/Bucharest]","0.0","1.0"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2021-05-14T14:47:44.2358802+03:00[Europe/Bucharest]","0.0","0.41"
